Time,Manipulability,Error
0.0842769,60.9397,1.65113
0.184033,58.5426,1.58938
0.284045,57.611,1.51479
0.383932,57.1426,1.4319
0.483897,56.9978,1.34516
0.583944,57.0866,1.21957
0.685953,57.2299,1.13715
0.785894,57.4378,1.06031
0.885992,57.7222,0.988171
0.9869,57.9994,0.921555
1.08699,58.2473,0.860581
1.18691,58.4965,0.804984
1.2869,58.6829,0.754818
1.38736,58.8429,0.709209
1.4869,58.9918,0.667018
1.58687,59.0936,0.628199
1.689,59.1732,0.591545
1.78994,59.2355,0.558247
1.88992,59.2923,0.527097
1.99388,59.3419,0.496817
2.09593,59.3797,0.468936
2.19591,59.4119,0.443407
2.29591,59.456,0.419697
2.39694,59.5142,0.397502
2.49702,59.5713,0.376767
2.59688,59.6076,0.357095
2.70003,59.6302,0.337964
2.80091,59.6552,0.320499
2.90093,59.6884,0.304404
3.00691,59.7311,0.2882
3.10993,59.7947,0.273615
3.20992,59.8733,0.260148
3.31,59.9691,0.247404
3.4099,60.0908,0.235283
3.51085,60.1981,0.223934
3.61184,60.3222,0.213308
3.7169,60.4783,0.202925
3.81994,60.6364,0.193223
3.91994,60.7749,0.184469
4.02188,60.8566,0.17631
4.12192,60.8961,0.168986
4.22185,60.9043,0.162022
4.3219,60.9078,0.155546
4.42205,60.91,0.149536
4.53095,60.9123,0.143284
4.63088,60.9134,0.137687
4.73289,60.9145,0.132484
4.83548,60.9146,0.127851
4.94193,60.9158,0.123255
5.05235,60.6577,2.05213
5.1519,58.6238,1.13896
5.25186,58.1532,1.03761
5.35194,58.1589,0.946624
5.45188,58.1864,0.865239
5.55195,58.2227,0.793009
5.65294,58.2701,0.727809
5.75587,58.371,0.669441
5.85684,58.5366,0.618513
5.9569,58.7073,0.573768
6.05787,58.8857,0.533532
6.15791,59.0842,0.498194
6.25881,59.298,0.465519
6.35988,59.4149,0.436084
6.46082,59.4584,0.409649
6.56295,59.4949,0.385733
6.66385,59.5466,0.364433
6.76493,59.5882,0.345285
