Time,Manipulability,Error
9.6e-08,64.4304,1.26191
0.102063,63.6,1.25743
0.203171,61.1737,1.24792
0.304322,57.115,1.23644
0.40803,51.246,1.22102
0.508032,44.0278,1.1824
0.608194,35.847,1.09129
0.708087,29.2597,1.02314
0.809057,26.3486,0.98981
0.909058,26.5599,0.986954
1.00921,28.2803,1.00409
1.1092,30.1826,1.02256
1.20944,31.1028,1.02961
1.30903,31.101,1.02745
1.41008,30.9819,1.02464
1.51009,30.8529,1.02112
1.61209,30.6959,1.01843
1.71234,30.5178,1.01522
1.81209,30.2963,1.01251
1.91315,30.0635,1.00914
2.01309,29.788,1.00594
2.11624,29.4846,1.00249
2.21657,29.1318,0.999373
2.3161,28.7681,0.995632
2.42016,28.3326,0.991642
2.52008,27.8927,0.987531
2.6211,27.3865,0.983973
2.72112,26.8604,0.979733
2.82311,26.2837,0.975622
2.92815,25.6421,0.970901
3.0291,24.9782,0.966389
3.12952,24.2754,0.961684
3.23111,23.5325,0.956882
3.33214,22.7564,1.05884
3.43611,23.162,1.05814
3.53762,24.5617,1.05621
3.63809,26.8915,1.05361
3.73854,30.217,1.05164
3.84118,34.5891,1.0517
3.94143,39.492,1.05448
4.04519,44.9795,1.06034
4.14819,50.6319,1.06877
4.24907,56.1409,1.07871
4.3502,61.1934,1.08899
4.45014,65.6259,1.09836
4.55013,69.5131,1.10533
4.65027,72.9754,1.10884
4.75013,76.4002,1.10725
4.85022,79.5159,1.10065
4.95113,81.4313,1.09021
5.05117,81.1597,1.07823
5.15208,78.4927,1.06556
5.25308,73.3827,1.04165
5.35319,65.9258,0.963282
5.45423,55.8108,0.890448
5.55712,43.5241,0.825873
5.65915,30.8042,0.77133
5.76034,20.0393,0.727373
5.86029,12.7122,0.6934
5.96011,9.32733,0.65498
6.06116,7.78568,0.635782
6.16848,7.32764,0.632254
6.26815,7.34671,0.635949
6.36846,7.39201,0.640511
6.47115,7.43314,0.644873
6.57119,7.46822,0.648306
6.67135,7.48889,0.650439
6.77117,7.49598,0.651626
6.87118,7.48917,0.652242
6.97211,7.48204,0.652491
7.07224,7.46271,0.652293
7.17213,7.44509,0.65196
7.27231,7.43086,0.651677
7.37217,7.41886,0.651443
7.47224,7.40866,0.651236
7.5721,7.40086,0.651081
7.67316,7.39366,0.650942
7.77327,7.38632,0.6508
7.87321,7.38303,0.650734
7.97313,7.38096,0.650692
8.07318,7.38008,0.65067
8.17515,7.37953,0.65066
8.27712,7.37915,0.65065
8.37928,7.34058,1.36977
