Time,Manipulability,Error
8.1e-08,87.7887,1.41873
0.100746,87.3253,1.41851
0.200726,86.4897,1.41173
0.300878,85.0641,1.39122
0.400824,83.0029,1.37182
0.501158,80.406,1.35332
0.600814,77.4436,1.31598
0.701015,74.2626,1.27055
0.801049,70.9603,1.22944
0.904727,67.5123,1.19134
1.00611,64.1127,1.15705
1.10686,60.708,1.12548
1.20686,57.3852,1.09697
1.30786,54.0483,1.06992
1.4078,50.7664,1.04474
1.51033,47.4343,1.0207
1.60983,44.2768,0.998622
1.71033,41.6556,0.981557
1.81094,39.6824,0.970413
1.91221,38.1148,0.963347
2.01195,36.91,0.959971
2.11293,35.8641,0.958233
2.2129,34.9689,0.957203
2.31388,34.2858,0.958186
2.4149,33.6443,0.959175
2.51494,33.0015,0.959708
2.61593,32.3988,0.960447
2.72695,31.8026,0.960827
2.8289,31.2953,0.961214
2.933,32.602,1.03659
3.03293,39.2272,1.02377
3.13295,45.1187,1.01814
3.23297,50.358,1.016
3.33498,55.3942,1.01527
3.43503,59.9462,1.01513
3.53499,64.1395,1.01499
3.6369,68.1547,1.01461
3.73799,71.7468,1.01399
3.84494,75.2703,1.013
3.94502,78.2062,1.01175
4.04501,80.7843,1.01044
4.14531,82.9859,1.00915
4.24502,84.7487,1.0079
4.34516,86.1248,1.00673
4.44514,87.0832,1.00568
4.54511,87.6485,1.00475
4.64538,87.8255,1.00409
4.74606,87.6347,0.995008
4.84806,87.1307,0.968424
4.95308,86.3641,0.94495
5.05511,85.4107,0.925552
5.15509,84.3319,0.909289
5.25606,83.118,0.895334
5.35611,81.8542,0.88381
5.4595,80.4758,0.873385
5.5631,78.9611,0.8638
5.67065,77.3768,0.855708
5.77012,75.851,0.849435
5.87007,74.3155,0.843159
5.9712,72.713,0.837732
6.07123,71.0973,0.832276
6.17321,69.5233,0.827743
6.27747,67.7773,0.822571
6.37843,66.2162,0.81841
6.47943,64.5926,0.814311
6.58214,63.0178,0.810272
6.68219,61.4592,0.806121
6.78618,59.8461,0.802448
6.88624,58.3644,0.798907
6.98815,56.8466,0.795347
7.09047,55.3368,0.791817
7.19131,53.8903,0.788587
7.29136,52.5139,0.785342
7.39231,51.1781,0.782231
7.49227,49.8301,0.778959
7.59222,48.5304,0.776122
7.69226,47.2814,0.773024
7.79222,46.0519,0.770114
7.89924,44.567,1.29741
8.00022,43.1523,1.21849
8.10034,41.6323,1.13924
8.20131,40.3476,1.06869
8.3023,39.2562,1.00815
8.40531,38.2363,0.956096
8.50546,37.4499,0.913636
8.60549,36.8074,0.876876
8.70544,36.2754,0.845212
8.80645,35.861,0.817322
8.90733,35.4824,0.792958
9.00828,35.1741,0.771667
9.11042,34.9411,0.752015
9.2106,34.7361,0.734118
9.31065,34.5657,0.717796
9.41034,34.4059,0.702874
9.51037,34.2193,0.688629
9.6116,34.0633,0.675948
9.71129,33.8471,0.664412
9.81134,33.5711,0.653751
9.9124,33.3443,0.644166
10.0124,33.1167,0.635591
10.1128,32.8385,0.627267
10.2164,32.5225,0.619343
10.3175,32.1757,0.61215
10.4187,31.8742,0.605886
10.5185,31.5958,0.600397
10.6185,31.2225,0.594726
10.7185,30.8708,0.589535
10.8184,30.4117,0.583858
10.9188,30.0996,0.579628
11.0189,30.0025,0.576344
11.1199,30.0267,0.574709
11.2194,29.9924,0.573341
11.3195,30.0094,0.571925
11.4195,30.0005,0.570338
11.5195,29.9978,0.569319
11.6215,29.993,0.56803
11.7275,30.0115,0.566603
11.8285,29.9888,0.565537
11.9285,30.0193,0.564478
12.0295,29.9894,0.563179
12.1349,30.005,0.561987
12.2355,30.0164,0.560647
12.3355,29.9805,0.559547
12.4359,30.0075,0.558649
12.5355,29.9916,0.557536
12.6369,30.0101,0.556971
12.7367,29.985,0.555965
12.8435,29.8675,1.47906
12.9436,29.4237,1.47516
13.0436,28.6314,1.4684
13.1439,27.8352,1.46249
13.2457,27.0841,1.45801
13.3467,26.5169,1.45499
13.4499,26.23,1.45304
13.5497,26.1096,1.42755
13.6537,26.1496,1.39205
13.7542,26.3111,1.36407
13.8537,26.4575,1.34039
13.9536,26.6663,1.32072
14.0537,26.9744,1.30456
14.1582,27.3569,1.29069
14.2599,27.776,1.27948
14.3637,28.2993,1.2455
14.466,28.9199,1.20053
14.5659,29.5498,1.16248
14.6657,30.0393,1.12711
14.7657,30.5003,1.09293
14.8699,31.6041,1.06362
14.9699,32.8056,1.03699
15.0697,34.0383,1.01293
15.1697,35.3608,0.991447
15.2698,36.6324,0.972232
15.371,37.8471,0.955293
15.4709,38.9745,0.940933
15.5719,39.9198,0.927894
15.6717,40.6964,0.915814
15.7787,41.4737,0.904407
15.8787,42.1048,0.894898
15.9799,42.6939,0.885806
16.0798,43.1237,0.877062
16.1818,43.4441,0.868205
16.2838,43.7488,0.859653
16.3838,44.0901,0.851986
16.4849,44.3573,0.844377
16.5852,44.5293,0.83697
16.6848,44.6676,0.829574
16.7848,44.7712,0.822427
16.8848,44.9463,0.815804
16.9852,45.1378,0.809309
17.0849,45.3021,0.802942
17.1851,45.4333,0.79629
17.2849,45.5479,0.789699
17.3852,45.7575,0.783634
17.4859,45.9956,0.777379
17.5859,46.1826,0.771252
17.6861,46.3361,0.764846
17.7859,46.4789,0.758991
17.8929,45.5092,1.73205
17.9939,43.4851,1.73205
18.0959,41.3937,1.71237
18.1959,39.5303,1.69482
18.2959,37.8879,1.65131
18.3989,36.3368,1.61228
18.501,35.0316,1.5793
18.601,33.9242,1.55167
18.701,32.9066,1.52832
18.801,31.9932,1.50855
18.9011,31.1765,1.49192
19.002,30.443,1.47772
19.102,30.0433,1.46546
19.203,29.9726,1.45535
19.305,30.0138,1.44692
19.4073,30.0466,1.4398
19.5083,29.9933,1.43391
19.6083,29.9707,1.42901
19.7114,29.9945,1.42483
19.8134,30.0457,1.42144
19.915,30.0266,1.41902
20.0163,30.016,1.41737
20.1163,30.029,1.4163
20.2162,30.0163,1.41581
20.3172,30.0016,1.38942
20.4181,30.0062,1.36594
20.5301,30.0368,1.34343
20.6325,29.9956,1.32581
20.7341,30.0353,1.31014
20.8351,29.9901,1.29686
20.9405,30.0632,1.2845
21.0423,30.0332,1.27383
21.1426,30.0157,1.26421
21.2444,30.0623,1.25534
21.3471,30.0432,1.247
21.4471,30.041,1.23924
21.5473,30.0384,1.23177
21.6471,30.0253,1.22516
21.7472,29.993,1.2187
21.8532,30.0581,1.21199
21.9541,30.0403,1.20566
22.0547,30.0607,1.19955
22.1542,30.1466,1.19341
22.2544,30.2108,1.18755
22.3542,30.2811,1.18168
22.4542,30.3311,1.17589
22.5552,30.3738,1.17008
22.6552,30.3675,1.16384
22.7562,30.2671,1.15725
22.8623,30.0101,1.73205
22.9622,32.5372,1.73205
23.0653,35.5392,1.73205
23.1655,38.3844,1.73205
23.2683,40.9402,1.73205
23.3782,43.2961,1.73205
23.4783,45.1849,1.73205
23.5803,46.8576,1.73205
23.6814,48.2076,1.72858
23.7815,49.2559,1.71016
23.8816,49.9805,1.69037
23.9824,50.4615,1.66023
24.0823,50.6311,1.60297
24.1823,50.7746,1.54491
24.2824,51.8387,1.48511
24.3824,55.0485,1.41965
24.4824,62.2546,1.34843
24.5824,74.1491,1.27947
24.6823,86.1836,1.22359
24.7843,90.4087,1.16859
24.8843,91.9901,1.10724
24.9844,93.2833,1.05577
25.0844,94.3784,1.00972
25.1857,95.2974,0.966628
25.2854,96.0423,0.927684
25.3874,96.6602,0.890401
25.4874,97.1449,0.856755
25.5885,97.5147,0.825184
25.6884,97.806,0.796209
25.7914,98.0278,0.768472
25.8925,98.1811,0.743127
25.9924,98.2855,0.719241
26.0924,98.394,0.697293
26.1938,98.4323,0.67628
26.2934,98.4571,0.656586
26.3945,98.4813,0.638127
26.4945,98.4738,0.620836
26.5955,98.4516,0.604455
26.6957,98.4444,0.589512
26.7955,98.4122,0.574841
26.8965,98.4114,0.561584
26.9965,98.371,0.549103
27.0985,98.3039,0.5369
27.1985,98.3251,0.526323
27.2986,98.2844,0.515943
27.4002,98.2021,0.505205
27.5006,98.183,0.495848
27.6006,98.1243,0.487182
27.7028,98.032,0.478273
27.8045,97.938,0.469708
27.9105,99.0388,1.13404
28.0106,100.432,1.12002
28.1139,101.659,1.10482
28.2136,102.572,1.08986
28.314,103.258,1.01256
28.4228,103.782,0.893774
28.5226,104.187,0.80052
28.6237,104.499,0.721526
28.7237,104.71,0.656573
28.8237,104.801,0.602994
28.9256,104.847,0.55703
29.0297,104.819,0.518043
29.1347,104.712,0.484939
29.2347,104.59,0.457955
29.3386,104.458,0.433777
29.4427,104.316,0.41267
29.5426,104.19,0.394116
29.6429,104.017,0.378375
29.7427,103.822,0.363227
29.8437,103.643,0.349878
29.9457,103.502,0.337551
30.0467,103.337,0.32695
30.1497,103.166,0.316914
30.252,103.026,0.306682
30.3517,102.937,0.297485
30.4541,102.796,0.289267
30.5548,102.613,0.281894
30.6547,102.42,0.275045
30.7548,102.272,0.268763
30.8551,102.19,0.263221
30.9551,102.125,0.258175
31.0567,102.045,0.253316
31.1598,101.955,0.248846
31.2597,101.834,0.244902
31.3598,101.691,0.24138
31.4612,101.538,0.238211
31.5608,101.399,0.235345
31.6618,101.294,0.232648
31.7621,101.212,0.230018
31.8629,101.139,0.227519
31.963,101.086,0.225283
32.0629,101.047,0.22293
32.1632,101.034,0.220624
32.2629,101.017,0.218298
32.3629,100.974,0.216111
32.4632,100.895,0.214024
32.5638,100.793,0.212021
32.6638,100.706,0.210443
32.7638,100.64,0.209107
32.8652,100.871,1.52868
32.9649,100.67,1.52213
33.0683,99.8666,1.51143
33.1679,98.8963,1.50068
33.2691,97.9295,1.49067
33.3709,96.9874,1.48138
33.4708,96.0766,1.47329
33.5739,95.2141,1.46572
33.674,94.35,1.45924
33.7739,93.5231,1.45346
33.8741,92.642,1.44823
33.974,91.7821,1.44358
34.0744,90.882,1.43936
34.1739,89.971,1.43559
34.2739,89.0552,1.43229
34.3742,88.0935,1.42938
34.4749,87.1177,1.42679
34.5749,86.0865,1.42451
34.6752,85.0505,1.4225
34.7752,83.9585,1.42078
34.8755,82.8142,1.41932
34.975,81.6142,1.41808
35.075,80.3779,1.41701
35.176,79.0828,1.41613
35.276,77.7445,1.41545
35.376,76.3475,1.41492
35.4761,74.9414,1.41454
35.576,73.4711,1.41432
35.6761,71.9968,1.41422
35.7771,70.4663,1.41425
35.877,68.9366,1.41441
35.977,67.4164,1.4147
36.079,65.8457,1.41511
36.1801,64.2875,1.41563
36.2811,62.7734,1.41628
36.3816,61.2509,1.41703
36.4811,59.7991,1.4179
36.5821,58.4345,1.41894
36.6841,57.0152,1.42006
36.7841,55.6705,1.42124
36.8842,54.3658,1.42249
36.9841,53.106,1.4238
37.0841,51.8628,1.4251
37.1841,50.6089,1.4263
37.2862,49.3248,1.42739
37.3871,48.0853,1.42835
37.4891,46.9513,1.42926
37.5911,46.0894,1.43022
37.6911,45.7459,1.43143
37.7931,45.8879,1.43294
37.9034,48.4607,1.73205
38.0055,53.1588,1.73205
38.1052,57.3923,1.73205
38.2064,60.9471,1.73205
38.3066,63.711,1.73205
38.4067,65.7049,1.73205
38.5062,67.0268,1.73205
38.6073,67.6608,1.73205
